Name,Position,OverallRating
Marc Jackson,SF,64
Mark Blount,SF,69
Mark Bryant,SF,68
Mark Madsen,SF,66
Matt Harpring,SF,70
Metta World Peace,SF,70
Michael Bradley,SF,68
Michael Curry,SF,69
Michael Finley,SF,70
Michael Stewart,SF,72
Mike Bibby,SF,70
Mike Miller,SF,69
Mitch Richmond,SF,72
Monty Williams,SF,70
Morris Peterson,SF,69
Nick Van Exel,SF,69
Olumide Oyedeji,SF,70
P.J. Brown,SF,69
Pat Garrity,SF,69
Patrick Ewing,SF,69
Paul Pierce,SF,71
Peja Stojakovic,SF,69
Predrag Drobnjak,SF,69
Quincy Lewis,SF,68
Raef LaFrentz,SF,69
Raja Bell,SF,68
Randy Livingston,SF,69
Rashard Lewis,SF,69
Rasheed Wallace,SF,70
Rasho Nesterovic,SF,69
Reggie Miller,SF,70
Richard Jefferson,SF,69
Rick Brunson,SF,64
Rick Fox,SF,70
Robert Horry,SF,70
Robert Pack,SF,67
Robert Traylor,SF,69
Rodney Rogers,SF,70
Rodney White,SF,65
Ron Mercer,SF,69
Ruben Patterson,SF,68
Rusty LaRue,SF,70
Sam Mitchell,SF,68
Samaki Walker,SF,69
Scot Pollard,SF,69
Scott Padgett,SF,69
Scottie Pippen,SF,72
Shammond Williams,SF,70
Shaquille O'Neal,SF,71
Shawn Bradley,SF,68
Shawn Kemp,SF,68
Slava Medvedenko,SF,69
Speedy Claxton,SF,71
Stacey Augmon,SF,70
Steve Kerr,SF,70
Steve Nash,SF,71
Steven Smith,SF,69
Terry Porter,SF,69
Tim Duncan,SF,72
Todd MacCulloch,SF,69
Tony Battie,SF,69
Tony Delk,SF,69
Tony Parker,SF,70
Tracy McGrady,SF,72
Troy Hudson,SF,69
Victor Alexander,SF,66
Vin Baker,SF,69
Vlade Divac,SF,70
Vladimir Radmanovic,SF,69
Vonteego Cummings,SF,64
Wally Szczerbiak,SF,69
Walter McCarty,SF,68
Wang Zhi-zhi,SF,70
Zach Randolph,SF,64
Zeljko Rebraca,SF,69
Aaron McKie,SF,70
Aaron Williams,SF,70
Adrian Griffin,SF,69
Al Harrington,SF,68
Allen Iverson,SF,72
Amar'e Stoudemire,SF,70
Andrei Kirilenko,SF,69
Andrew DeClercq,SF,69
Anfernee Hardaway,SF,70
Anthony Johnson,SF,71
Anthony Mason,SF,68
Anthony Peeler,SF,68
Antoine Walker,SF,70
Antonio Daniels,SF,70
Arvydas Sabonis,SF,71
Austin Croshere,SF,70
Baron Davis,SF,72
Ben Wallace,SF,69
Bimbo Coles,SF,68
Bo Outlaw,SF,67
Bobby Jackson,SF,71
Bonzi Wells,SF,70
Brad Miller,SF,71
Brian Scalabrine,SF,68
Brian Shaw,SF,69
Brian Skinner,SF,67
Bruce Bowen,SF,68
Calbert Cheaney,SF,68
Carlos Arroyo,SF,70
Casey Jacobsen,SF,67
Chauncey Billups,SF,71
Chris Webber,SF,71
Chris Whitney,SF,69
Chucky Atkins,SF,69
Clifford Robinson,SF,69
Corliss Williamson,SF,70
Courtney Alexander,SF,69
Dale Davis,SF,70
Damon Stoudamire,SF,71
Danny Ferry,SF,68
Danny Manning,SF,67
Darrell Armstrong,SF,70
David Robinson,SF,70
David Wesley,SF,69
DeShawn Stevenson,SF,70
Derek Anderson,SF,66
Derek Fisher,SF,70
Derrick Coleman,SF,70
Desmond Mason,SF,69
Devean George,SF,69
Dikembe Mutombo,SF,69
Dirk Nowitzki,SF,70
Doug Christie,SF,70
Drew Gooden,SF,70
Eduardo Najera,SF,69
Eric Snow,SF,71
Eric Williams,SF,69
Erick Strickland,SF,72
Ervin Johnson,SF,68
Evan Eschmeyer,SF,68
Gary Payton,SF,71
Gary Trent,SF,68
George Lynch,SF,69
Gerald Wallace,SF,69
Gordan Giricek,SF,69
Grant Long,SF,67
Greg Buckner,SF,68
Greg Ostertag,SF,69
Hedo Turkoglu,SF,69
J.R. Bremer,SF,69
Jacque Vaughn,SF,70
Jake Voskuhl,SF,70
Jamaal Magloire,SF,69
Jamaal Tinsley,SF,72
Jamal Mashburn,SF,71
Jannero Pargo,SF,69
Jason Collins,SF,69
Jason Kidd,SF,72
Jeff Foster,SF,70
Jeff McInnis,SF,69
Jermaine O'Neal,SF,70
Jerome Moiso,SF,71
Jeryl Sasser,SF,69
Jim Jackson,SF,70
Joe Johnson,SF,68
Joe Smith,SF,70
Joel Przybilla,SF,71
John Amaechi,SF,67
John Salmons,SF,65
John Stockton,SF,71
Jon Barry,SF,71
Jonathan Bender,SF,69
Kareem Rush,SF,69
Karl Malone,SF,71
Kedrick Brown,SF,67
Keith Van Horn,SF,69
Kendall Gill,SF,68
Kenny Anderson,SF,69
Kenny Thomas,SF,69
Kenyon Martin,SF,70
Keon Clark,SF,69
Kerry Kittles,SF,69
Kevin Garnett,SF,72
Kevin Willis,SF,70
Kobe Bryant,SF,71
Lawrence Funderburke,SF,70
Loren Woods,SF,70
Lucious Harris,SF,69
Malik Rose,SF,69
Manu Ginobili,SF,70
Marc Jackson,SF,71
Marcus Haislip,SF,70
Mark Blount,SF,69
Mark Bryant,SF,64
Mark Jackson,SF,71
Mark Madsen,SF,69
Matt Harpring,SF,69
Mehmet Okur,SF,69
Metta World Peace,SF,70
Michael Curry,SF,68
Michael Finley,SF,70
Michael Redd,SF,70
Mike Bibby,SF,70
Mike Wilks,SF,69
Monty Williams,SF,67
Nick Van Exel,SF,71
P.J. Brown,SF,69
Pat Burke,SF,70
Pat Garrity,SF,68
Paul Pierce,SF,72
Peja Stojakovic,SF,70
Qyntel Woods,SF,68
Raef LaFrentz,SF,68
Raja Bell,SF,69
Rasheed Wallace,SF,70
Rasho Nesterovic,SF,68
Reggie Miller,SF,69
Richard Hamilton,SF,70
Richard Jefferson,SF,70
Rick Fox,SF,69
Robert Horry,SF,69
Robert Pack,SF,69
Robert Traylor,SF,69
Rod Strickland,SF,72
Rodney Rogers,SF,70
Ron Mercer,SF,68
Ruben Patterson,SF,70
Sam Cassell,SF,70
Samaki Walker,SF,68
Scot Pollard,SF,68
Scott Padgett,SF,70
Scott Williams,SF,68
Scottie Pippen,SF,71
Shaquille O'Neal,SF,72
Shawn Bradley,SF,68
Shawn Kemp,SF,68
Shawn Marion,SF,69
Slava Medvedenko,SF,69
Speedy Claxton,SF,71
Stacey Augmon,SF,68
Stephen Jackson,SF,70
Stephon Marbury,SF,71
Steve Kerr,SF,71
Steve Nash,SF,71
Steven Hunter,SF,67
Steven Smith,SF,68
Tamar Slay,SF,67
Tariq Abdul-Wahad,SF,69
Tayshaun Prince,SF,70
Tim Duncan,SF,72
Tim Hardaway,SF,71
Tim Thomas,SF,70
Tom Gugliotta,SF,69
Toni Kukoc,SF,71
Tony Battie,SF,69
Tony Delk,SF,70
Tony Massenburg,SF,69
Tony Parker,SF,70
Tracy McGrady,SF,72
Troy Hudson,SF,71
Tyrone Hill,SF,69
Vlade Divac,SF,70
Wally Szczerbiak,SF,69
Walt Williams,SF,69
Walter McCarty,SF,69
Zach Randolph,SF,70
Zeljko Rebraca,SF,69
Aaron Williams,SF,69
Al Harrington,SF,69
Andre Miller,SF,70
Anfernee Hardaway,SF,70
Antawn Jamison,SF,69
Anthony Johnson,SF,69
Anthony Peeler,SF,68
Antoine Walker,SF,69
Austin Croshere,SF,69
Baron Davis,SF,72
Ben Wallace,SF,69
Bo Outlaw,SF,67
Bonzi Wells,SF,70
Bostjan Nachbar,SF,70
Brad Miller,SF,70
Brandon Armstrong,SF,68
Brandon Hunter,SF,72
Brevin Knight,SF,70
Brian Cook,SF,68
Brian Grant,SF,69
Brian Scalabrine,SF,70
Brian Skinner,SF,69
Bruce Bowen,SF,68
Bryon Russell,SF,66
Carmelo Anthony,SF,70
Caron Butler,SF,69
Charlie Ward,SF,72
Chauncey Billups,SF,71
Chris Andersen,SF,68
Chris Mihm,SF,68
Chris Webber,SF,70
Chucky Atkins,SF,71
Clar. Weatherspoon,SF,68
Corliss Williamson,SF,69
Cuttino Mobley,SF,69
Damon Jones,SF,73
Dan Gadzuric,SF,71
Dana Barros,SF,65
Daniel Santiago,SF,64
Darius Songaila,SF,69
Darko Milicic,SF,68
Darrell Armstrong,SF,69
Darrick Martin,SF,70
Darvin Ham,SF,68
David Wesley,SF,69
David West,SF,71
DerMarr Johnson,SF,67
Derek Fisher,SF,70
Desmond Mason,SF,69
Devean George,SF,69
Devin Brown,SF,70
Dikembe Mutombo,SF,68
Dirk Nowitzki,SF,70
Doug Christie,SF,70
Dwyane Wade,SF,71
Earl Boykins,SF,71
Earl Watson,SF,71
Eddie Jones,SF,69
Eduardo Najera,SF,69
Elden Campbell,SF,69
Eric Piatkowski,SF,65
Erick Strickland,SF,72
Ervin Johnson,SF,69
Francisco Elson,SF,69
Frank Williams,SF,68
Fred Hoiberg,SF,69
Fred Jones,SF,69
Gary Payton,SF,70
Gary Trent,SF,68
George Lynch,SF,70
Gerald Wallace,SF,69
Hedo Turkoglu,SF,69
Jabari Smith,SF,70
Jake Tsakalidis,SF,73
Jamaal Magloire,SF,69
Jamaal Tinsley,SF,71
James Posey,SF,69
Jason Collins,SF,69
Jason Hart,SF,69
Jason Kidd,SF,71
Jason Williams,SF,70
Jeff Foster,SF,70
Jermaine O'Neal,SF,70
Jim Jackson,SF,69
Jiri Welsch,SF,70
Joe Smith,SF,69
Jon Barry,SF,69
Jonathan Bender,SF,69
Josh Howard,SF,69
Jumaine Jones,SF,68
Kareem Rush,SF,69
Karl Malone,SF,70
Keith Van Horn,SF,69
Kelvin Cato,SF,69
Kenny Anderson,SF,71
Kenyon Martin,SF,70
Kerry Kittles,SF,69
Kevin Garnett,SF,72
Kevin Willis,SF,68
Kobe Bryant,SF,71
Kurt Thomas,SF,69
Lamar Odom,SF,70
Latrell Sprewell,SF,70
Lindsey Hunter,SF,69
Loren Woods,SF,64
Lorenzen Wright,SF,68
Lucious Harris,SF,69
Luke Walton,SF,71
Malik Allen,SF,69
Malik Rose,SF,69
Manu Ginobili,SF,71
Marcus Banks,SF,70
Marcus Camby,SF,70
Marcus Haislip,SF,72
Mark Blount,SF,69
Mark Jackson,SF,68
Mark Madsen,SF,68
Marquis Daniels,SF,69
Maurice Carter,SF,65
Maurice Taylor,SF,70
Mehmet Okur,SF,69
Metta World Peace,SF,70
Michael Doleac,SF,69
Michael Finley,SF,68
Michael Olowokandi,SF,68
Michael Redd,SF,70
Michael Stewart,SF,64
Michael Sweetney,SF,69
Mike Bibby,SF,71
Mike James,SF,70
Mike Miller,SF,69
Mike Wilks,SF,67
Nazr Mohammed,SF,69
Nene,SF,70
Oliver Miller,SF,67
P.J. Brown,SF,69
Pau Gasol,SF,71
Paul Pierce,SF,70
Peja Stojakovic,SF,69
Rafer Alston,SF,69
Rasheed Wallace,SF,69
Rasho Nesterovic,SF,68
Rasual Butler,SF,69
Reggie Miller,SF,70
Richard Hamilton,SF,71
Richard Jefferson,SF,71
Rick Fox,SF,69
Ricky Davis,SF,70
Robert Horry,SF,70
Robert Traylor,SF,69
Rodney Buford,SF,70
Rodney Rogers,SF,69
Rodney White,SF,68
Ryan Bowen,SF,70
Ryan Humphrey,SF,72
Sam Cassell,SF,71
Samaki Walker,SF,65
Scot Pollard,SF,67
Scott Padgett,SF,69
Scott Williams,SF,65
Shammond Williams,SF,71
Shandon Anderson,SF,68
Shane Battier,SF,68
Shaquille O'Neal,SF,71
Shawn Bradley,SF,64
Slava Medvedenko,SF,69
Stacey Augmon,SF,69
Stephon Marbury,SF,71
Steve Francis,SF,72
Steve Nash,SF,71
Steven Smith,SF,70
Stromile Swift,SF,69
Tamar Slay,SF,68
Tayshaun Prince,SF,69
Tim Duncan,SF,71
Tim Thomas,SF,71
Toni Kukoc,SF,69
Tony Delk,SF,70
Tony Parker,SF,71
Trenton Hassell,SF,69
Udonis Haslem,SF,68
Vin Baker,SF,69
Vlade Divac,SF,70
Voshon Lenard,SF,70
Wally Szczerbiak,SF,70
Walter McCarty,SF,69
Wang Zhi-zhi,SF,66
Yao Ming,SF,70
Zoran Planinic,SF,68
Aaron McKie,SF,68
Adrian Griffin,SF,70
Al Jefferson,SF,69
Alan Henderson,SF,68
Allen Iverson,SF,73
Alonzo Mourning,SF,70
Amar'e Stoudemire,SF,71
Andre Iguodala,SF,69
Andre Miller,SF,71
Andres Nocioni,SF,70
Antawn Jamison,SF,69
Anthony Johnson,SF,72
Anthony Peeler,SF,68
Antoine Walker,SF,70
Antonio Burks,SF,67
Antonio Daniels,SF,71
Antonio Davis,SF,69
Antonio McDyess,SF,70
Austin Croshere,SF,69
Ben Gordon,SF,70
Ben Wallace,SF,69
Beno Udrih,SF,69
Billy Thomas,SF,66
Bo Outlaw,SF,68
Bob Sura,SF,69
Bobby Jackson,SF,69
Bonzi Wells,SF,71
Brad Miller,SF,70
Brendan Haywood,SF,69
Brent Barry,SF,69
Brian Cardinal,SF,68
Brian Scalabrine,SF,67
Brian Skinner,SF,69
Bruce Bowen,SF,68
Bryon Russell,SF,68
Carlos Arroyo,SF,71
Carmelo Anthony,SF,70
Chauncey Billups,SF,71
Chris Duhon,SF,70
Chris Webber,SF,70
Christian Laettner,SF,69
Clar. Weatherspoon,SF,65
Clifford Robinson,SF,69
Corliss Williamson,SF,71
Cuttino Mobley,SF,69
Dahntay Jones,SF,68
Dale Davis,SF,69
Damien Wilkins,SF,68
Damon Jones,SF,70
Danny Fortson,SF,69
Darius Songaila,SF,68
Darko Milicic,SF,68
Darrell Armstrong,SF,70
Darvin Ham,SF,68
David Wesley,SF,69
Delonte West,SF,69
DerMarr Johnson,SF,69
Devin Brown,SF,69
Devin Harris,SF,70
Dikembe Mutombo,SF,70
Dirk Nowitzki,SF,70
Dwyane Wade,SF,72
Earl Boykins,SF,70
Earl Watson,SF,70
Eddie Gill,SF,72
Eddie House,SF,71
Eddie Jones,SF,69
Eduardo Najera,SF,67
Elden Campbell,SF,69
Eric Piatkowski,SF,69
Erick Dampier,SF,69
Etan Thomas,SF,69
Flip Murray,SF,68
Francisco Elson,SF,66
Fred Jones,SF,69
Gary Payton,SF,70
Gilbert Arenas,SF,71
Glenn Robinson,SF,69
Greg Buckner,SF,67
Greg Ostertag,SF,71
Jabari Smith,SF,64
Jamaal Tinsley,SF,71
James Jones,SF,69
James Posey,SF,69
Jannero Pargo,SF,71
Jared Jeffries,SF,69
Jared Reiner,SF,65
Jason Collins,SF,67
Jason Kidd,SF,71
Jason Terry,SF,70
Jason Williams,SF,71
Jeff Foster,SF,70
Jermaine O'Neal,SF,70
Jerome James,SF,69
Jerry Stackhouse,SF,70
Jim Jackson,SF,69
Joe Johnson,SF,70
John Salmons,SF,67
Jon Barry,SF,69
Josh Davis,SF,65
Josh Howard,SF,70
Juan Dixon,SF,70
Justin Reed,SF,68
Keith Van Horn,SF,70
Kendrick Perkins,SF,70
Kenny Thomas,SF,70
Kenyon Martin,SF,69
Keyon Dooling,SF,70
Kirk Hinrich,SF,72
Kwame Brown,SF,69
Kyle Korver,SF,68
Laron Profit,SF,69
Larry Hughes,SF,70
Lawrence Funderburke,SF,68
Leandro Barbosa,SF,69
Lindsey Hunter,SF,69
Lorenzen Wright,SF,70
Luke Ridnour,SF,69
Manu Ginobili,SF,72
Marc Jackson,SF,68
Marcus Banks,SF,69
Marcus Camby,SF,69
Mark Blount,SF,67
Marquis Daniels,SF,70
Maurice Evans,SF,70
Michael Doleac,SF,68
Michael Finley,SF,69
Michael Ruffin,SF,70
Mike Bibby,SF,71
Mike James,SF,70
Mike Miller,SF,70
Moochie Norris,SF,65
Nazr Mohammed,SF,69
Nenad Krstic,SF,70
Nene,SF,69
Nick Collison,SF,70
Othella Harrington,SF,69
Pau Gasol,SF,70
Paul Pierce,SF,72
Peja Stojakovic,SF,69
Quentin Richardson,SF,69
Raef LaFrentz,SF,69
Rashard Lewis,SF,69
Rasheed Wallace,SF,69
Rasho Nesterovic,SF,67
Rasual Butler,SF,68
Ray Allen,SF,71
Reggie Evans,SF,69
Reggie Miller,SF,70
Richard Hamilton,SF,70
Richard Jefferson,SF,70
Ricky Davis,SF,69
Robert Horry,SF,70
Rodney Buford,SF,64
Rodney Rogers,SF,69
Ronald Dupree,SF,67
Ryan Bowen,SF,68
Samuel Dalembert,SF,69
Scot Pollard,SF,68
Scott Padgett,SF,69
Shandon Anderson,SF,68
Shane Battier,SF,69
Shaquille O'Neal,SF,71
Shawn Bradley,SF,69
Shawn Marion,SF,69
Stephen Jackson,SF,70
Steve Blake,SF,69
Steve Nash,SF,73
Steven Hunter,SF,69
Steven Smith,SF,65
Stromile Swift,SF,70
Tayshaun Prince,SF,69
Tim Duncan,SF,71
Tony Allen,SF,68
Tony Massenburg,SF,67
Tony Parker,SF,70
Tracy McGrady,SF,72
Travis Best,SF,70
Tyson Chandler,SF,70
Udonis Haslem,SF,69
Vince Carter,SF,71
Vitaly Potapenko,SF,68
Vladimir Radmanovic,SF,68
Walter McCarty,SF,67
Wesley Person,SF,68
Willie Green,SF,70
Yao Ming,SF,71
Zoran Planinic,SF,64
Aaron McKie,SF,64
Adrian Griffin,SF,69
Alan Henderson,SF,65
Alonzo Mourning,SF,70
Anderson Varejao,SF,69
Andre Miller,SF,72
Andres Nocioni,SF,70
Andrew Bogut,SF,69
Andrew Bynum,SF,65
Antawn Jamison,SF,70
Anthony Johnson,SF,71
Antoine Walker,SF,69
Antoine Wright,SF,67
Antonio Burks,SF,71
Antonio Daniels,SF,70
Antonio McDyess,SF,70
Austin Croshere,SF,69
Ben Gordon,SF,70
Ben Wallace,SF,69
Beno Udrih,SF,71
Billy Thomas,SF,66
Bobby Jackson,SF,69
Bobby Simmons,SF,68
Bonzi Wells,SF,71
Boris Diaw,SF,71
Bostjan Nachbar,SF,64
Brad Miller,SF,69
Brendan Haywood,SF,69
Brent Barry,SF,70
Brian Cardinal,SF,70
Brian Cook,SF,70
Brian Grant,SF,66
Bruce Bowen,SF,69
Carlos Delfino,SF,68
Carmelo Anthony,SF,70
Caron Butler,SF,70
Charlie Bell,SF,69
Chauncey Billups,SF,71
Chris Duhon,SF,69
Chris Kaman,SF,70
Chucky Atkins,SF,70
Clifford Robinson,SF,68
Corey Maggette,SF,71
Corliss Williamson,SF,69
Cuttino Mobley,SF,69
DJ Mbenga,SF,68
Dahntay Jones,SF,70
Dale Davis,SF,67
Damon Jones,SF,68
Dan Gadzuric,SF,71
Daniel Ewing,SF,70
Danny Granger,SF,70
Darrell Armstrong,SF,67
David Harrison,SF,68
DeSagana Diop,SF,69
DerMarr Johnson,SF,69
Derek Anderson,SF,70
Devean George,SF,69
Devin Harris,SF,70
Dirk Nowitzki,SF,71
Donell Taylor,SF,68
Donyell Marshall,SF,69
Drew Gooden,SF,70
Dwyane Wade,SF,72
Earl Boykins,SF,70
Eddie Gill,SF,66
Eddie House,SF,68
Eddie Jones,SF,70
Eduardo Najera,SF,67
Elton Brand,SF,71
Eric Piatkowski,SF,70
Eric Snow,SF,69
Erick Dampier,SF,69
Ervin Johnson,SF,69
Etan Thomas,SF,69
Fabricio Oberto,SF,68
Flip Murray,SF,68
Francisco Elson,SF,68
Francisco Garcia,SF,68
Fred Jones,SF,70
Gary Payton,SF,69
Gilbert Arenas,SF,71
Greg Buckner,SF,69
Hakim Warrick,SF,69
Ira Newble,SF,72
Jacque Vaughn,SF,68
Jake Tsakalidis,SF,69
Jamaal Magloire,SF,69
Jamaal Tinsley,SF,71
James Jones,SF,68
James Posey,SF,69
James Singleton,SF,70
Jannero Pargo,SF,75
Jared Jeffries,SF,69
Jason Collins,SF,68
Jason Hart,SF,68
Jason Kapono,SF,64
Jason Kidd,SF,71
Jason Terry,SF,70
Jason Williams,SF,70
Jeff Foster,SF,68
Jermaine Jackson,SF,69
Jermaine O'Neal,SF,71
Jerry Stackhouse,SF,69
Jim Jackson,SF,69
Jiri Welsch,SF,70
Joe Smith,SF,69
John Thomas,SF,68
Josh Howard,SF,70
Josh Powell,SF,65
Keith Van Horn,SF,68
Kelvin Cato,SF,69
Kenny Thomas,SF,69
Kenyon Martin,SF,68
Kevin Martin,SF,69
Kirk Hinrich,SF,72
Kobe Bryant,SF,71
Kurt Thomas,SF,68
Kwame Brown,SF,69
Lamar Odom,SF,71
Lamond Murray,SF,69
Larry Hughes,SF,69
LeBron James,SF,72
Leandro Barbosa,SF,70
Linas Kleiza,SF,70
Lindsey Hunter,SF,70
Lorenzen Wright,SF,70
Luke Schenscher,SF,71
Luke Walton,SF,69
Luol Deng,SF,68
Malik Allen,SF,69
Manu Ginobili,SF,71
Marcus Camby,SF,69
Marquis Daniels,SF,70
Maurice Evans,SF,70
Metta World Peace,SF,70
Michael Doleac,SF,69
Michael Finley,SF,69
Michael Redd,SF,70
Michael Ruffin,SF,67
Michael Sweetney,SF,70
Mike Bibby,SF,70
Mike Miller,SF,70
Mo Williams,SF,70
Nazr Mohammed,SF,70
Nenad Krstic,SF,69
Nick Van Exel,SF,69
Nikoloz Tskitishvili,SF,69
Othella Harrington,SF,65
Pat Burke,SF,70
Pau Gasol,SF,71
Peja Stojakovic,SF,70
Quinton Ross,SF,69
Raja Bell,SF,69
Rasheed Wallace,SF,70
Rasho Nesterovic,SF,69
Reggie Evans,SF,69
Richard Hamilton,SF,70
Richard Jefferson,SF,71
Robert Horry,SF,69
Ronnie Price,SF,66
Ronny Turiaf,SF,70
Ruben Patterson,SF,69
Sam Cassell,SF,71
Sarunas Jasikevicius,SF,69
Sasha Pavlovic,SF,66
Sasha Vujacic,SF,69
Scot Pollard,SF,66
Scott Padgett,SF,69
Shandon Anderson,SF,68
Shane Battier,SF,68
Shaquille O'Neal,SF,71
Shareef Abdur-Rahim,SF,70
Shaun Livingston,SF,70
Shawn Marion,SF,70
Smush Parker,SF,68
Stephen Jackson,SF,70
Steve Nash,SF,72
T.J. Ford,SF,71
Tayshaun Prince,SF,70
Tim Duncan,SF,72
Tim Thomas,SF,70
Toni Kukoc,SF,71
Tony Delk,SF,69
Tony Parker,SF,71
Tyson Chandler,SF,68
Udonis Haslem,SF,69
Vince Carter,SF,72
Vitaly Potapenko,SF,68
Vladimir Radmanovic,SF,70
Walter McCarty,SF,67
Wayne Simien,SF,66
Zeljko Rebraca,SF,67
Zoran Planinic,SF,70
Zydrunas Ilgauskas,SF,69
Adonal Foyle,SF,71
Adrian Griffin,SF,66
Al Harrington,SF,69
Allen Iverson,SF,70
Alonzo Mourning,SF,70
Amar'e Stoudemire,SF,70
Anderson Varejao,SF,69
Andray Blatche,SF,69
Andrea Bargnani,SF,69
Andrei Kirilenko,SF,70
Andres Nocioni,SF,69
Andrew Bynum,SF,69
Andris Biedrins,SF,69
Antawn Jamison,SF,70
Anthony Carter,SF,73
Anthony Parker,SF,69
Antoine Walker,SF,70
Antoine Wright,SF,69
Antonio Daniels,SF,72
Antonio McDyess,SF,69
Austin Croshere,SF,69
Baron Davis,SF,72
Ben Gordon,SF,70
Ben Wallace,SF,69
Beno Udrih,SF,67
Bernard Robinson,SF,73
Boris Diaw,SF,70
Bostjan Nachbar,SF,70
Brendan Haywood,SF,70
Brent Barry,SF,69
Brian Cook,SF,68
Bruce Bowen,SF,68
CJ Miles,SF,68
Calvin Booth,SF,70
Carlos Arroyo,SF,70
Carlos Boozer,SF,71
Carlos Delfino,SF,69
Carmelo Anthony,SF,70
Chauncey Billups,SF,71
Chris Bosh,SF,70
Chris Duhon,SF,69
Chris Webber,SF,70
Chuck Hayes,SF,69
Clifford Robinson,SF,66
Dale Davis,SF,68
Damon Jones,SF,68
Daniel Gibson,SF,69
Darius Songaila,SF,69
Darko Milicic,SF,69
Darrick Martin,SF,71
DeSagana Diop,SF,69
DeShawn Stevenson,SF,68
Dee Brown,SF,69
Derek Fisher,SF,69
Deron Williams,SF,72
Devean George,SF,68
Devin Harris,SF,71
Dikembe Mutombo,SF,71
Dirk Nowitzki,SF,70
Donell Taylor,SF,70
Donyell Marshall,SF,69
Dorell Wright,SF,64
Drew Gooden,SF,69
Dwight Howard,SF,70
Dwyane Wade,SF,72
Eddie House,SF,69
Eddie Jones,SF,68
Eduardo Najera,SF,67
Eric Piatkowski,SF,71
Eric Snow,SF,69
Erick Dampier,SF,69
Etan Thomas,SF,69
Fabricio Oberto,SF,69
Flip Murray,SF,69
Francisco Elson,SF,69
Gary Payton,SF,66
Gordan Giricek,SF,69
Grant Hill,SF,70
Greg Buckner,SF,66
Hassan Adams,SF,68
Hedo Turkoglu,SF,70
Ira Newble,SF,66
J.J. Barea,SF,65
JJ Redick,SF,71
JR Smith,SF,69
Jacque Vaughn,SF,69
Jake Tsakalidis,SF,75
Jalen Rose,SF,70
Jameer Nelson,SF,70
James Jones,SF,69
James Posey,SF,69
Jarron Collins,SF,68
Jarvis Hayes,SF,68
Jason Collins,SF,68
Jason Kapono,SF,68
Jason Kidd,SF,73
Jason Maxiell,SF,70
Jason Richardson,SF,70
Jason Terry,SF,70
Jason Williams,SF,69
Jerry Stackhouse,SF,70
Joey Graham,SF,68
John Lucas III,SF,65
Jordan Farmar,SF,69
Jose Calderon,SF,73
Josh Boone,SF,69
Josh Howard,SF,70
Josh Powell,SF,68
Juan Dixon,SF,69
Juwan Howard,SF,69
Kelenna Azubuike,SF,68
Keyon Dooling,SF,70
Kirk Hinrich,SF,71
Kirk Snyder,SF,67
Kobe Bryant,SF,71
Kris Humphries,SF,68
Kurt Thomas,SF,70
Kwame Brown,SF,69
Lamar Odom,SF,70
Larry Hughes,SF,69
LeBron James,SF,72
Leandro Barbosa,SF,70
Linas Kleiza,SF,67
Lindsey Hunter,SF,69
Luke Jackson,SF,74
Luke Walton,SF,69
Luol Deng,SF,70
Luther Head,SF,69
Malik Allen,SF,67
Manu Ginobili,SF,71
Marcus Banks,SF,69
Marcus Camby,SF,69
Marcus Williams,SF,71
Matt Barnes,SF,70
Matt Bonner,SF,68
Matt Harpring,SF,69
Maurice Ager,SF,69
Maurice Evans,SF,68
Mehmet Okur,SF,69
Michael Doleac,SF,64
Michael Finley,SF,69
Michael Ruffin,SF,67
Michael Sweetney,SF,68
Mickael Pietrus,SF,69
Mikki Moore,SF,69
Monta Ellis,SF,69
Morris Peterson,SF,69
Nazr Mohammed,SF,75
Nene,SF,70
P.J. Brown,SF,69
Pat Burke,SF,68
Paul Millsap,SF,69
Rafael Araujo,SF,69
Rafer Alston,SF,70
Raja Bell,SF,69
Rasheed Wallace,SF,70
Rasho Nesterovic,SF,69
Richard Hamilton,SF,70
Richard Jefferson,SF,70
Robert Horry,SF,69
Roger Mason Jr.,SF,69
Ronnie Brewer,SF,70
Ronny Turiaf,SF,69
Sarunas Jasikevicius,SF,72
Sasha Pavlovic,SF,69
Sasha Vujacic,SF,69
Scot Pollard,SF,64
Shammond Williams,SF,68
Shane Battier,SF,69
Shannon Brown,SF,64
Shaquille O'Neal,SF,71
Shawn Marion,SF,69
Smush Parker,SF,67
Stephen Jackson,SF,70
Steve Blake,SF,70
Steve Nash,SF,73
T.J. Ford,SF,73
Tayshaun Prince,SF,70
Thabo Sefolosha,SF,69
Tim Duncan,SF,71
Tony Battie,SF,68
Tony Parker,SF,71
Tracy McGrady,SF,73
Trevor Ariza,SF,69
Tyrus Thomas,SF,70
Udonis Haslem,SF,69
Vassilis Spanoulis,SF,74
Vince Carter,SF,71
Yakhouba Diawara,SF,64
Yao Ming,SF,71
Zydrunas Ilgauskas,SF,70
Aaron Brooks,SF,69
Acie Law,SF,72
Adonal Foyle,SF,68
Al Horford,SF,70
Allen Iverson,SF,70
Amar'e Stoudemire,SF,70
Amir Johnson,SF,70
Anderson Varejao,SF,69
Andray Blatche,SF,68
Andre Iguodala,SF,70
Andre Miller,SF,70
Andrea Bargnani,SF,68
Andrei Kirilenko,SF,69
Antawn Jamison,SF,69
Anthony Carter,SF,70
Anthony Parker,SF,69
